ID,Nombre,Apellido,Cargo,Salario,Fecha Contratación
1,Ana,Pérez,Encargado de inventario,3291.00,2012-07-14
2,Elena,Rodríguez,Asistente de ventas,3263.00,2015-10-11
3,Elena,García,Vendedor,2942.00,2020-01-24
4,Luis,Pérez,Ramírez,2775.00,2022-05-27
5,Pedro,López,Supervisor de cajas,2700.00,2003-12-09
6,David,Sánchez,Asistente de almacén,2761.00,2010-02-22
7,Pedro,Pérez,Gerente,3996.00,2018-04-12
8,Carlos,Rodríguez,Asistente de almacén,2493.00,2008-09-23
9,Laura,Pérez,Asesor de compras,2621.00,2015-03-27
10,David,Sánchez,Gerente,3539.00,2014-10-11
